normalized_job_code,title,normalized_job_title
26bc4486dfd0f60b3bb0d8d64e001800,1st Grade Teacher,1st grade teacher
9be6e14491305132c175cb1781a3356c,1st Pressman,1st pressman
d38d16bab3f9f25ae34ae3e2aad254d4,1st Pressman On Web Press,1st pressman on web press
8576a78b5c1cae3a567ca7fd34500357,21 Dealer,21 dealer
a59278d7f653db37e54a270345a91a05,2nd Grade Teacher,2nd grade teacher
9c631442c4966cd3e5a9e52fc70aff1c,2nd Pressman,2nd pressman
f5a2151d370ebca7b49778e036a287e8,2 Year Olds Preschool Teacher,2 year olds preschool teacher
af2e31c2c64ae223b06eb7f0cbf59a98,3D Animator,3d animator
ac029293b0ea43f168b004c4f04fca31,3D Artist,3d artist
7d37dfe2eface4ae79db093b0a79385d,3D Designer,3d designer
6cb0a6786c08d6c91a4fc9f61e19f62d,3D Modeler,3d modeler
ec45194ae348e1bb21415064364f038b,3D Specialist,3d specialist
4266e89fcaf06973fa23fc6f75b27682,3D Technologist,3d technologist
0cfb09fa1c6691fd6d77a3d3743fa8bc,3rd Grade Reading Teacher,3rd grade reading teacher
ac668f6dc8795ace795b2c1f7c889ba4,3rd Grade Teacher,3rd grade teacher
7826ba3a7150817935915f63b861936b,3rd Pressman,3rd pressman
90bc1d89aaee33a96c1b70fef0750d62,411 Directory Assistance Operator,411 directory assistance operator
814eb6844cf824e6945fb02a48f0e569,4-H Youth Development Specialist,4h youth development specialist
772053d8bb2c6e127b0bf216e50285ed,4th Grade Math Teacher,4th grade math teacher
de0a3e90cdd112dd78120d4c8a9422b2,4th Grade Teacher,4th grade teacher
,,
