,normalized_job_code,job_name
0,,
1,861a9b9151e11362eb3c77ca914172d0,automatic data processing planner
2,049a3f3a2b5f85cb2971ba77ad66e10c,data coordinator
3,f4b2fb1aa40f661488e2782b6d57ad2f,database developer
4,27af8700f5577cec835acee2cb90a2ff,data entry specialist
5,c1b670eba9ccb65e7c99f7da116d5b9c,database architect
6,d71c4164c99a5f9bca773e755a72f40f,geographic information systems database administrator gis database administrator
7,2ee80cf30e2483dfe0947adc0428f8c5,crime data specialist
8,897ef18a9321616495831a4b4b0c1bb2,data communications software consultant
9,a003702c0cea282e17967772dd83de5e,data security analyst
10,04c82eae29e1c4a30eac0710b74ab276,database marketing analyst
11,fcaf4aac737e53ad24b9f32f08b8740f,computer or data processing systems consultant
12,3833bd699e7afe4665b595f282da0387,database development and administration project manager
13,19e384e977796c25780d8c28b12089c4,naval tactical data systemcombat information center watch officer general
14,474b962c13632a04e42a546be4f11dbb,data coder operator
15,dac2e921c1f887d9efc4c06fa33c1397,automatic data processing customer liaison adp customer liaison
16,996da29c84f5eed00da40c230f4c4078,data entry representative
17,cc2b26cc436bea36bda3bdd7367c411a,data processing auditor
18,25fe195cbf915c0824fa6c44e6d0008c,maintenance data analyst
19,76385cb24e831b3364279b9de5641d8f,automatic data processing systems security specialist adp systems security
20,16b67d7f57698455aefbc1ae1b358b50,database engineer
21,b24ece3300d2f8ab34f9553e531183d6,data processing systems project planner
22,5db2c8d6539f983e1ca3d7c5b939e190,database administration associate
23,36675c937946c8a4fc5de7d0b4c850de,data warehousing engineer
24,847165cfda6b1dc82ae22b967da8af2f,data warehouse developer
25,2ca138b991c50dc6696238e5ad800142,database software technician
26,775190277a849cba701b306a7b374c0a,data officer
27,022d0e3a40aa3e29bca6851542b27842,data keyer
28,375017ea3a1a97f5ea676def873bb25b,geographic information systems data specialist gis data specialist
29,1dd2fdc8a3981f2a1d8f0ca173952bb8,database administration manager
30,e605336f5a43949cb6b18054fd1937f1,database security expert
31,800b621aab5dac18f4caef621fa43a49,data systems manager
32,d06dfb43c95b585a89ae556c9221b573,data warehousing manager
33,a12a16280e22220f9354333f6fe1b22a,geographic information systems data administrator gis data administrator
34,477b53ef09d37f098d5ed74f47fcbaec,data base design analyst
35,e2f68bf748aea2c7d2254550c0c92b23,director of data operations
36,45033f83b6e0309eca9bcd76917f15d0,database modeler
37,141ddda0f613da65a280521247de0e9f,data administrator
38,3ddea1b52e520996e4ec9fb70dc8b86b,field artillery automated tactical data system specialist
39,6408c0d7c7faa4ced47fbc8474698126,database design analyst
40,07b7555fa790debaf5b04d1409ad5f11,database security administrator
41,a4d5b8b38f9513825d0d94a981ebe962,database manager
42,5e93fd1a58c8a67b295f69d87d1a940d,geographic information systems data manager gis data manager
43,122f24bc911a79c26ca66210557dda07,clinical data specialist
44,76b0ba6af40991629e20dff36edd02a5,data management information technology specialist
45,970eb38c7b3eb080466052ea994af189,internet database specialist
46,cf2d4db3c258faa2499bdeeeed6721a5,gps field data collector global positioning system field data collector
47,90c5430dbc810aec8695af2f1f4c42e8,electronic data processing auditor edp auditor
48,7bb15eefb19ed09c59349baad7e8469e,database coordinator
49,ec3d88b2fd083b870b8c5a603898ed39,databases computer consultant
50,1f8576bdffa64f492405d02b842c41a6,data management associate
51,edc64316da9707432443c7a4461abe6c,data security administrator
52,6cf4d336112984368f83181ac5ffe948,health data analyst
53,d4624ed8068d24948e18303212593cd6,data architect
54,1a281bf4bd1fe9b2a6e464e508bea167,data storage specialist
55,2f704538f6c9d6459a97314be98124e2,data collector
56,3161063d378eecc4581c5cdee46a2a6c,head of information systems and data processing
57,781f5d3a80812531fdc81125a527a626,data warehouse specialist
58,38a15ceadcdd6d4db16a88fa1a72b083,data warehouse analyst
59,e55556364d2096578fd153e9800e826f,database consultant
60,d24ffac92c24fb0e7bd1abc5fc3b6254,data manager
61,ccd7528fb38f16077360c5b67c9700c4,data communications analyst
62,f6fbd9dea1fa8f899683ade8e7d87d60,data entry associate
63,0de6170ccbed08e62b2e5862d5846a43,database tester
64,499f9d9b6722342608656559b15abd90,clinical data associate
65,8a7a3f1bce0958ae9f090683e5a925b7,data scientist
66,7acaed29536648e45ea2b82d45047fcf,medical data analyst
67,02e4c028f64f176de2f54bbc2f5403ce,marketing database analyst
68,569da68cdcac43a3b4a0126ea9170570,database designer
69,ced804d972b03cca6d523ec8925a7943,oracle database administrator oracle dba
70,41b2978a2c07c5f477e60f26372d6c85,database management system specialist dbms specialist
71,d9e964a222fdd9527319ad88adbfaa2e,sql database administrator
72,ac47656fd51c2cd8037057262c910dc4,data processing manager
73,e49986dae76619a3941d280ee14d38ae,data miner
74,f842344417ed2fc226d9cc00f9562458,log data technician
75,096536ec43ce2a7de73031b271a1c132,flight data technician
76,a33662485eb4ad97096183db945308f4,automatic data processing planner adp planner
77,4f75f97ac5b5f00f9420074d501f0803,data capture specialist
78,f36c6ada3a808453a0bf241c74a4e994,reference data expert
79,41ba88cfd476ee8d5e3d9f7cea62f051,data recovery planner
80,894ca61c22718617c7e2404f582153da,data processing consultant
81,34d80517fe3bc143f9fc850386b8ffd7,clinical data coordinator
82,e7b3e1c6a32c7247cd4857e4c3574165,data processing systems analyst
83,36ac256201657eeaa67ee95aaae3cd54,data warehousing specialist
84,bc6dcc49557388a9f53d6e642e73d7a2,business database analyst
85,00bff17fca67555d8d86e8ead86dcd70,database analyst
86,b42566382f2d3deeca56d3667004fc9e,data center manager
87,7932d4705d002b47789c11edfaed685e,data control assistant
88,aee597cd78f235c9db9d3ca987c7c846,database development project manager
89,1c37a6e2bf157c0eff4665c57c52602d,scada technician supervisory control and data acquisition technician
90,46b09f5f86f1ed46a8cb8e14d41418c7,survey data technician
91,a2a9fbe67b4aa2b551ba0f3adac90a99,engineer system electronic data processing engineer system edp
92,77d124811ae6887bd4ff42b0e2b49116,data warehouse architect
93,f05d2014d4a9adaab50fa1e0ca6f6c8c,naval tactical data systemcombat information center watch officer carrier controlled approach controller
94,ac2588d5d7676a49bdcd038e4a0a0ec5,data compiler
95,2173ff3afd8d28192f7cf119af201940,data modeling specialist
96,f5bc91b67dc30ad204158092116c4ed2,clinical data manager
97,433df1b945d32f17d9e61cf60a9bd06e,data abstractor
98,1295a187473fd2f53427769fc7a4c02e,clinical data management associate director
99,004431b0c1ce29ff6145307fa23f3f98,data reduction technician
100,8fd068c8d9be73abfa678856177b6c40,data operations director
101,c34f03aa0a9c6edbe8ec50f4fa3687a8,data center operator
102,7aecc34a90868aac810bf3693b11534e,clinical trials data coordinator
103,086f0063610283d1c23c44bca4ef92c0,database administrator dba
104,16b49a63ac3fcb90356c30187110ed94,data processing auxiliary equipment operator
105,437e4414c78611a270a5cedb4b4c0eed,data collection technician
106,679fb7003e0aedc14891fcd15dd846c5,database specialist
107,7a37ddb38441873334fd8ff07c17ad22,data acquisition technician
108,58eaf730050d2e23c7361fbb782e30a2,data processing mechanic
109,d0abc47e83e7d85921e113f85175547a,data sciences director
110,73d251075a710326ae436d9819246377,databases software consultant
111,5e2bfe1fb8451158ff488c673535980c,data entry machine operator
112,ac9f868b5c3e7cb3f31bcead5dadeb71,micro computer data processor
113,f670246beda8187fbe875401e7bc4ba6,data processing services sales representative
114,0044971fda4a261b6049a63817913e95,data processing equipment repairer
115,b36bc5f02fd641a126df999bcefa2777,data technician
116,067c85859a63aa6f1c8c936904124dd6,naval tactical data systemcombat information center officer
117,491d82be40d8395e347f9584124bccdd,flight test data acquisition technician
118,7028f15ad274cb4d9505101b9c1306b1,clinical data management manager cdm manager
119,fd69391dc29c83d5ad744daa57de0175,data transcriber
120,3def30a9bc4356164176ba909f40bab8,data input clerk
121,132aa9e82c5d4c8a395342d0a6e22c5c,electronic data interchange system developer edi system developer
122,07b2ace822aff5d35dcf5ea264ef3b59,database administration project manager
123,f8984e50675cf61e5ac1ea8f661e0ab2,field traffic data technician
124,d329d187dafb7546061ec7fbf137a2b4,clinical data abstractor
125,d63e35f948115e0c328a49db7bdb6e59,data control clerk supervisor
126,bf7f43295d45cdced048c8126f977b6b,datastage developer
127,6bf4290b983d58ce153af610008846c9,data entry technician
128,f1fc61f279e3ad14863e582ca6fdc473,clinical data analyst
129,31bf3181813e21ffdfd76b5881fab066,data entry supervisor
130,04b0eaf624b2deb45ccd62cf6ec7c7bc,data conversion operator
131,2616d64becb4f2c478dd42f501bbfbff,data processing control clerk
132,776bf47111206d31ccf835650e1054cc,data typist
133,c3b5ebd7b88c20786f11e87846c7d6ae,scada operator supervisory control and data acquisition operator
134,dfea9e8bc3c565ff9e64d4288b1c423d,customer data technician
135,a50d1f4be063829950e6ddb02c91379f,database programmer
136,af6630abd24c19f77cfba94aa4e3b7e1,data specialist
137,901740e84d1a4760e440b039adac9df2,data processing clerk
138,f2ecf36d7eb0a4225974fc6c4f48cfcb,voice and data technician
139,f1fb62e4c97f4f5cd5001877cb94379e,data processor
140,b9a57264eaada670703db113483ddfc3,data modeler
141,65b92572bca68ff9c49c930749fa348c,lidar data analyst
142,59dab7d0a3ee97d939aa8b1a8deec857,data management manager
143,afea0e0169a98ee264db2ddb1c6e6a34,data processing supervisor
144,0facaffe51cc1998a5fbdbe5fd18fd98,weight in motion field data collection technician
145,ccf2c4daae069f054cada4c911819a17,scientific database curator
146,1426c924e1b6b162f6bfdd1906d98d0e,operations officer afloat naval tactical data systems
147,eb3d789747d52df803ce63fe37bf53e9,data analyst
148,bdf4dcd92089bc17345de83f4d06090f,data entry operator
149,5285758deb04c98f58cbae2747195f33,data reviewer
150,04c27c76b463a917800549cf88a59961,data communications technician
151,631bc3a12ed11340fc94ebfffa8f5f4e,database technician
152,b0fa6ede410f50b82ab74f5a705fe699,analytical data miner
153,559a21f836c93876f31b60e6d10656a7,data analysis assistant
154,c1fb1a01b78373ac2153c66fa08d16dc,data examination clerk
155,05bb9a333a66d6eb151e253623efe1c0,data entry clerk
156,4cee16550636e292b8d136486fce943b,data capture clerk
